Country,lat,long
Andorra,42.546245,1.601554
UAE,23.424076,53.847818
Afghanistan,33.93911,67.709953
Antigua and Barbuda,17.060816,-61.796428
Albania,41.153332,20.168331
Armenia,40.069099,45.038189
Argentina,-38.416097,-63.616672
Austria,47.516231,14.550072
Australia,-25.274398,133.775136
Aruba,12.52111,-69.968338
Azerbaijan,40.143105,47.576927
Bosnia and Herzegovina,43.915886,17.679076
Bangladesh,23.684994,90.356331
Belgium,50.503887,4.469936
Burkina Faso,12.238333,-1.561593
Bulgaria,42.733883,25.48583
Bahrain,25.930414,50.637772
Brunei,4.535277,114.727669
Bolivia,-16.290154,-63.588653
Brazil,-14.235004,-51.92528
Bhutan,27.514162,90.433601
Belarus,53.709807,27.953389
Canada,56.130366,-106.346771
DRC,-4.038333,21.758664
Switzerland,46.818188,8.227512
Ivory Coast,7.539989,-5.54708
Chile,-35.675147,-71.542969
Cameroon,7.369722,12.354722
China,35.86166,104.195397
Colombia,4.570868,-74.297333
Costa Rica,9.748917,-83.753428
Cuba,21.521757,-77.781167
Cyprus,35.126413,33.429859
Czechia,49.817492,15.472962
Germany,51.165691,10.451526
Denmark,56.26392,9.501785
Dominican Republic,18.735693,-70.162651
Algeria,28.033886,1.659626
Ecuador,-1.831239,-78.183406
Estonia,58.595272,25.013607
Egypt,26.820553,30.802498
Spain,40.463667,-3.74922
Ethiopia,9.145,40.489673
Finland,61.92411,25.748151
Faeroe Islands,61.892635,-6.911806
France,46.227638,2.213749
Gabon,-0.803689,11.609444
UK,55.378051,-3.435973
Georgia,42.315407,43.356892
French Guiana,3.933889,-53.125782
Ghana,7.946527,-1.023194
Gibraltar,36.137741,-5.345374
Guinea,9.945587,-9.696645
Guadeloupe,16.995971,-62.067641
Greece,39.074208,21.824312
Guatemala,15.783471,-90.230759
Guyana,4.860416,-58.93018
Hong Kong,22.396428,114.109497
Honduras,15.199999,-86.241905
Croatia,45.1,15.2
Hungary,47.162494,19.503304
Indonesia,-0.789275,113.921327
Ireland,53.41291,-8.24389
Israel,31.046051,34.851612
India,20.593684,78.96288
Iraq,33.223191,43.679291
Iran,32.427908,53.688046
Iceland,64.963051,-19.020835
Italy,41.87194,12.56738
Jamaica,18.109581,-77.297508
Jordan,30.585164,36.238414
Japan,36.204824,138.252924
Kenya,-0.023559,37.906193
Cambodia,12.565679,104.990963
S. Korea,40.339852,127.510093
Kuwait,29.31166,47.481766
Cayman Islands,19.513469,-80.566956
Kazakhstan,48.019573,66.923684
Lebanon,33.854721,35.862285
Saint Lucia,13.909444,-60.978893
Liechtenstein,47.166,9.555373
Sri Lanka,7.873054,80.771797
Lithuania,55.169438,23.881275
Luxembourg,49.815273,6.129583
Latvia,56.879635,24.603189
Morocco,31.791702,-7.09262
Monaco,43.750298,7.412841
Moldova,47.411631,28.369885
North Macedonia,41.608635,21.745275
Mongolia,46.862496,103.846656
Macao,22.198745,113.543873
Martinique,14.641528,-61.024174
Mauritania,21.00789,-10.940835
Malta,35.937496,14.375416
Maldives,3.202778,73.22068
Mexico,23.634501,-102.552784
Malaysia,4.210484,101.975766
Namibia,-22.95764,18.49041
Nigeria,9.081999,8.675277
Netherlands,52.132633,5.291266
Norway,60.472024,8.468946
Nepal,28.394857,84.124008
New Zealand,-40.900557,174.885971
Oman,21.512583,55.923255
Panama,8.537981,-80.782127
Peru,-9.189967,-75.015152
French Polynesia,-17.679742,-149.406843
Philippines,12.879721,121.774017
Pakistan,30.375321,69.345116
Poland,51.919438,19.145136
Puerto Rico,18.220833,-66.590149
Palestine,31.952162,35.233154
Portugal,39.399872,-8.224454
Paraguay,-23.442503,-58.443832
Qatar,25.354826,51.183884
Réunion,-21.115141,55.536384
Romania,45.943161,24.96676
Serbia,44.016521,21.005859
Russia,61.52401,105.318756
Rwanda,-1.940278,29.873888
Saudi Arabia,23.885942,45.079162
Sudan,12.862807,30.217636
Sweden,60.128161,18.643501
Singapore,1.352083,103.819836
Slovenia,46.151241,14.995463
Slovakia,48.669026,19.699024
San Marino,43.94236,12.457777
Senegal,14.497401,-14.452362
Suriname,3.919305,-56.027783
Togo,8.619543,0.824782
Thailand,15.870032,100.992541
Tunisia,33.886917,9.537499
Turkey,38.963745,35.243322
Trinidad and Tobago,10.691803,-61.222503
Taiwan,23.69781,120.960515
Ukraine,48.379433,31.16558
USA,37.09024,-95.712891
Uruguay,-32.522779,-55.765835
Vatican City,41.902916,12.453389
St. Vincent Grenadines,12.984305,-61.287228
Venezuela,6.42375,-66.58973
U.S. Virgin Islands,18.335765,-64.896335
Vietnam,14.058324,108.277199
South Africa,-30.559482,22.937506
Curaçao,12.16957,-68.990021
Saint Martin,18.073099,-63.082199
St. Barth,17.89618,-62.84978
Eswatini,-26.497616,31.355667
Channel Islands,33.998028,-119.772949
