,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,Reported1st case,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
0,USA,165580,"+1,792",3186.0,+45,5544.0,156850,3535.0,500.0,10.0,Jan 20,331003000.0,37.09024,-95.712891,0.05002371579713779,3.348230462616258,94.72762410919194,1.9241454281918104
1,Italy,101739,0,11591.0,0,14620.0,75528,3981.0,1683.0,192.0,Jan 29,60462000.0,41.87194,12.56738,0.16826932618834972,14.37010389329559,74.2370182525875,11.392877854116907
2,Spain,94417,"+6,461",8269.0,+553,19259.0,66889,5607.0,2019.0,177.0,Jan 30,46755000.0,40.463667,-3.7492199999999998,0.2019398994759919,20.39780971647055,70.84423355963439,8.757956723895061
3,Germany,68180,"+1,295",682.0,+37,15824.0,51674,1979.0,814.0,8.0,Jan 26,83784000.0,51.165690999999995,10.451526,0.08137591902988638,23.20915224405984,75.7905544147844,1.0002933411557642
4,Iran,44605,"+3,110",2898.0,+141,14656.0,27051,3703.0,531.0,35.0,Feb 18,83993000.0,32.427908,53.68804599999999,0.05310561594418583,32.85730299293801,60.6456675260621,6.497029480999888
5,France,44550,0,3024.0,0,7927.0,33599,5056.0,683.0,46.0,Jan 23,65274000.0,46.227638,2.213749,0.06825075834175935,17.793490460157127,75.41863075196409,6.787878787878789
6,UK,25150,"+3,009",1789.0,+381,135.0,23226,163.0,370.0,26.0,Jan 30,67886000.0,55.378051,-3.435973,0.03704740299914563,0.536779324055666,92.34990059642148,7.113320079522863
7,Switzerland,16186,+264,395.0,+36,1823.0,13968,301.0,1870.0,46.0,Feb 24,8655000.0,46.818188,8.227511999999999,0.18701328711727325,11.262819720746323,86.29679970344742,2.4403805758062522
8,Belgium,12775,+876,705.0,+192,1696.0,10374,1021.0,1102.0,61.0,Feb 03,11590000.0,50.503887,4.469936,0.11022433132010354,13.275929549902152,81.2054794520548,5.518590998043052
9,Netherlands,12595,+845,1039.0,+175,250.0,11306,1053.0,735.0,61.0,Feb 26,17135000.0,52.132633,5.291266,0.07350452290633207,1.9849146486701073,89.76578007145693,8.249305279872965
10,Turkey,10827,0,168.0,0,162.0,10497,568.0,128.0,2.0,Mar 09,84339000.0,38.963745,35.243322,0.012837477323658093,1.4962593516209477,96.95206428373511,1.5516763646439458
11,Austria,10038,+420,128.0,+20,1095.0,8815,198.0,1115.0,14.0,Feb 24,9006000.0,47.516231,14.550072,0.11145902731512325,10.90854751942618,87.81629806734409,1.275154413229727
12,S. Korea,9786,+125,162.0,+4,5408.0,4216,55.0,191.0,3.0,Jan 19,25779000.0,40.339852,127.510093,0.037961131153264285,55.26262006948702,43.081953811567544,1.655426118945432
13,Canada,7474,+26,92.0,+3,1114.0,6268,120.0,198.0,2.0,Jan 24,37742000.0,56.130366,-106.34677099999999,0.01980287213184251,14.905004013914905,83.86406208188386,1.2309339042012308
14,Portugal,7443,"+1,035",160.0,+20,43.0,7240,188.0,730.0,16.0,Mar 01,10197000.0,39.399871999999995,-8.224454,0.07299205648720213,0.5777240360069864,97.27260513233911,2.149670831653903
15,Israel,4831,+136,17.0,+1,163.0,4651,83.0,558.0,2.0,Feb 20,8656000.0,31.046051000000002,34.851612,0.055810998151571166,3.374042641275098,96.2740633409232,0.3518940178016974
16,Brazil,4681,+51,167.0,+4,127.0,4387,296.0,22.0,0.8,Feb 24,212559000.0,-14.235004,-51.92528,0.002202212091701598,2.71309549241615,93.71929074983979,3.5676137577440716
17,Norway,4605,+160,36.0,+4,13.0,4556,97.0,849.0,7.0,Feb 25,5421000.0,60.472024,8.468946,0.08494742667404537,0.28230184581976114,98.93593919652551,0.7817589576547231
18,Australia,4561,+101,19.0,0,337.0,4205,28.0,179.0,0.7,Jan 24,25500000.0,-25.274398,133.775136,0.017886274509803922,7.388730541547907,92.19469414602061,0.4165753124314843
19,Sweden,4435,+407,180.0,+34,16.0,4239,358.0,439.0,18.0,Jan 30,10099000.0,60.128161,18.643501,0.04391523913258738,0.36076662908680945,95.58060879368658,4.058624577226606
