,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,Reported1st case,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
85,San Marino,230,0,25.0,0,13.0,192,16.0,6778.0,737.0,Feb 26,34000.0,43.94236,12.457777,0.676470588235294,5.6521739130434785,83.47826086956522,10.869565217391305
69,Andorra,370,0,8.0,0,10.0,352,10.0,4789.0,104.0,Mar 01,77000.0,42.546245,1.6015540000000001,0.48051948051948057,2.7027027027027026,95.13513513513514,2.1621621621621623
92,Faeroe Islands,169,+1,0.0,0,74.0,95,3.0,3459.0,0,Mar 03,49000.0,61.892635,-6.9118059999999995,0.34489795918367344,43.786982248520715,56.213017751479285,0.0
40,Iceland,1135,+49,2.0,0,198.0,935,11.0,3326.0,6.0,Feb 27,341000.0,64.96305100000001,-19.020835,0.33284457478005863,17.444933920704848,82.37885462555066,0.1762114537444934
29,Luxembourg,1988,0,22.0,0,80.0,1886,31.0,3176.0,35.0,Feb 28,626000.0,49.815273,6.129583,0.31757188498402555,4.0241448692152915,94.8692152917505,1.1066398390342052
112,Gibraltar,69,0,0.0,0,34.0,35,0,2048.0,0,Mar 02,34000.0,36.137741,-5.345374,0.20294117647058824,49.275362318840585,50.72463768115942,0.0
2,Spain,94417,"+6,461",8269.0,+553,19259.0,66889,5607.0,2019.0,177.0,Jan 30,46755000.0,40.463667,-3.7492199999999998,0.2019398994759919,20.39780971647055,70.84423355963439,8.757956723895061
7,Switzerland,16186,+264,395.0,+36,1823.0,13968,301.0,1870.0,46.0,Feb 24,8655000.0,46.818188,8.227511999999999,0.18701328711727325,11.262819720746323,86.29679970344742,2.4403805758062522
114,Liechtenstein,65,+3,0.0,0,0.0,65,0,1705.0,0,Mar 02,38000.0,47.166000000000004,9.555373,0.17105263157894737,0.0,100.0,0.0
1,Italy,101739,0,11591.0,0,14620.0,75528,3981.0,1683.0,192.0,Jan 29,60462000.0,41.87194,12.56738,0.16826932618834972,14.37010389329559,74.2370182525875,11.392877854116907
118,Monaco,49,0,1.0,0,1.0,47,0,1249.0,25.0,Feb 27,39000.0,43.750298,7.412841,0.12564102564102564,2.0408163265306123,95.91836734693877,2.0408163265306123
11,Austria,10038,+420,128.0,+20,1095.0,8815,198.0,1115.0,14.0,Feb 24,9006000.0,47.516231,14.550072,0.11145902731512325,10.90854751942618,87.81629806734409,1.275154413229727
8,Belgium,12775,+876,705.0,+192,1696.0,10374,1021.0,1102.0,61.0,Feb 03,11590000.0,50.503887,4.469936,0.11022433132010354,13.275929549902152,81.2054794520548,5.518590998043052
17,Norway,4605,+160,36.0,+4,13.0,4556,97.0,849.0,7.0,Feb 25,5421000.0,60.472024,8.468946,0.08494742667404537,0.28230184581976114,98.93593919652551,0.7817589576547231
3,Germany,68180,"+1,295",682.0,+37,15824.0,51674,1979.0,814.0,8.0,Jan 26,83784000.0,51.165690999999995,10.451526,0.08137591902988638,23.20915224405984,75.7905544147844,1.0002933411557642
99,Channel Islands,141,0,3.0,+1,0.0,138,0,811.0,17.0,Mar 08,174000.0,33.998028000000005,-119.772949,0.08103448275862069,0.0,97.87234042553192,2.127659574468085
9,Netherlands,12595,+845,1039.0,+175,250.0,11306,1053.0,735.0,61.0,Feb 26,17135000.0,52.132633,5.291266,0.07350452290633207,1.9849146486701073,89.76578007145693,8.249305279872965
14,Portugal,7443,"+1,035",160.0,+20,43.0,7240,188.0,730.0,16.0,Mar 01,10197000.0,39.399871999999995,-8.224454,0.07299205648720213,0.5777240360069864,97.27260513233911,2.149670831653903
5,France,44550,0,3024.0,0,7927.0,33599,5056.0,683.0,46.0,Jan 23,65274000.0,46.227638,2.213749,0.06825075834175935,17.793490460157127,75.41863075196409,6.787878787878789
141,St. Barth,6,0,0.0,0,1.0,5,0,607.0,0,Feb 29,10000.0,17.896179999999998,-62.84978,0.06,16.666666666666664,83.33333333333334,0.0
21,Ireland,2910,0,54.0,0,5.0,2851,103.0,589.0,11.0,Feb 28,4938000.0,53.41291,-8.243889999999999,0.058930741190765495,0.1718213058419244,97.97250859106529,1.8556701030927836
51,Estonia,745,+30,4.0,+1,26.0,715,13.0,562.0,3.0,Feb 26,1327000.0,58.595271999999994,25.013607,0.05614167294649585,3.48993288590604,95.9731543624161,0.5369127516778524
15,Israel,4831,+136,17.0,+1,163.0,4651,83.0,558.0,2.0,Feb 20,8656000.0,31.046051000000002,34.851612,0.055810998151571166,3.374042641275098,96.2740633409232,0.3518940178016974
4,Iran,44605,"+3,110",2898.0,+141,14656.0,27051,3703.0,531.0,35.0,Feb 18,83993000.0,32.427908,53.68804599999999,0.05310561594418583,32.85730299293801,60.6456675260621,6.497029480999888
0,USA,165580,"+1,792",3186.0,+45,5544.0,156850,3535.0,500.0,10.0,Jan 20,331003000.0,37.09024,-95.712891,0.05002371579713779,3.348230462616258,94.72762410919194,1.9241454281918104
